stock,bargainPrice.priceNow,bargainPrice.priceWas,markdown.markdownPercentage,product.title,product.brand,timestamp
18,2.1,4.19,50,Lotus Biscoff Speculoos witte chocolade stukjes,Lotus Biscoff,2026-01-24 10:43:52
11,1.15,2.29,50,Galler Wit kokosnoot,Galler,2026-01-24 10:43:52
10,5.39,8.99,40,Lindt Mini pralines chocolade,Lindt,2026-01-24 10:43:52
9,1.67,2.79,40,Ferrero Rocher macadamia & hazelnut,Ferrero,2026-01-24 10:43:52
3,2.81,4.69,40,Smarties Melkchocolade stazak,Smarties,2026-01-24 10:43:52
17,1.49,1.99,25,Milka Chocoladereep confetti,Milka,2026-01-24 10:43:52
14,2.09,2.79,25,Ferrero Rocher hazelnoot puur,Ferrero,2026-01-24 10:43:52
13,1.34,1.79,25,Milka Chocolade reep wit,Milka,2026-01-24 10:43:52
8,3.22,4.29,25,Smarties Melkchocolade 6-pack,Smarties,2026-01-24 10:43:52
5,1.94,2.59,25,AH Reep melkchocolade pinda karamel,AH,2026-01-24 10:43:52
13,2.21,3.69,40,Sera Sourcherry jam,Sera,2026-01-24 10:43:52
4,0.56,0.75,25,AH IJskoffie cappuccino,AH,2026-01-24 10:43:52
3,1.49,2.49,40,Roosvicee Multivit bosvruchten,Roosvicee,2026-01-24 10:43:52
2,1.49,2.49,40,Roosvicee Multivit aardbei-sinaasappel,Roosvicee,2026-01-24 10:43:52
13,1.01,1.69,40,AH Hutspot,AH,2026-01-25 11:49:26
4,1.31,2.19,40,AH Gesneden spitskool,AH,2026-01-25 11:49:26
2,3.35,6.59,40,AH Gesneden verspakket bloemkoolschotel,AH,2026-01-25 11:49:26
1,4.55,7.59,40,AH Gesneden verspakket pastabake,AH,2026-01-25 11:49:26
1,4.55,7.59,40,AH Gesneden verspakket ayam smoor,AH,2026-01-25 11:49:26
1,3.89,6.49,40,AH Biologisch Groenteschotel Mediterrane verspakket,AH Biologisch,2026-01-25 11:49:26
1,3.59,5.99,40,AH Culi's zoete aardappelstamp verspakket,AH,2026-01-25 11:49:26
7,1.72,2.29,25,AH Roerbakgroente Italiaans,AH,2026-01-25 11:49:26
5,1.49,1.99,25,AH Fijne soepgroente grootverpakking,AH,2026-01-25 11:49:26
5,1.72,2.29,25,AH Roerbakgroente Italiaans champignons,AH,2026-01-25 11:49:26
4,1.49,1.99,25,AH Boeren soepgroente,AH,2026-01-25 11:49:26
3,1.49,1.99,25,AH Taugé grootverpakking,AH,2026-01-25 11:49:26
3,0.94,1.25,25,AH Biologisch Winterpeen,AH Biologisch,2026-01-25 11:49:26
2,1.04,1.39,25,AH Jonge bladsla met rucola kleinverpakking,AH,2026-01-25 11:49:26
2,1.12,1.49,25,AH Biologisch Verse zuurkool,AH Biologisch,2026-01-25 11:49:26
2,3.37,5.49,25,AH Eenpans roerbak verspakket,AH,2026-01-25 11:49:26
2,2.62,3.49,25,AH Luxe roerbak Italiaans cavolo nero,AH,2026-01-25 11:49:26
2,1.49,1.99,25,AH Roerbakgroente Italiaans champignons,AH,2026-01-25 11:49:26
2,1.43,2.39,25,AH Rucola slamelange grootverpakking,AH,2026-01-25 11:49:26
2,0.82,1.09,25,AH Taugé,AH,2026-01-25 11:49:26
2,0.82,1.09,25,AH Bakaardappeltjes,AH,2026-01-25 11:49:26
1,1.49,1.99,25,AH Hutspot grootverpakking,AH,2026-01-25 11:49:26
1,2.99,3.99,25,AH Groente & granen volkoren couscous,AH,2026-01-25 11:49:26
1,2.24,2.99,25,AH Snoepgroente worteltjes,AH,2026-01-25 11:49:26
1,1.72,2.29,25,AH Biologisch Shiitake,AH Biologisch,2026-01-25 11:49:26
1,4.19,6.59,25,AH Gesneden verspakket snelle stamppot,AH,2026-01-25 11:49:26
1,1.79,3.99,25,AH Stoomgroente pompoen met kruidenolie,AH,2026-01-25 11:49:26
1,5.24,6.99,25,AH Gesneden verspakket roerbaknoodles sesam,AH,2026-01-25 11:49:26
1,3.74,4.99,25,AH Goulashsoep verspakket,AH,2026-01-25 11:49:26
1,2.24,2.99,25,AH Roerbakgroente Italiaans grootverpakking,AH,2026-01-25 11:49:26
1,2.24,2.99,25,AH Roerbakgroente Italiaans fijngesneden,AH,2026-01-25 11:49:26
1,1.27,1.69,25,AH IJsbergsla fijngesneden,AH,2026-01-25 11:49:26
1,3.1,6.89,25,AH Gesneden verspakket gado gado,AH,2026-01-25 11:49:26
1,5.69,7.59,25,AH Gesneden verspakket traybake gnocchi,AH,2026-01-25 11:49:26
1,5.62,7.49,25,AH Gesneden verspakket gnocchi bolognese,AH,2026-01-25 11:49:26
1,3.37,5.49,25,AH Stamppot bloemkool en prei verspakket,AH,2026-01-25 11:49:26
1,1.87,2.49,25,AH Courgette spaghetti,AH,2026-01-25 11:49:26
1,2.99,3.99,25,AH Oven & airfryer prei peen,AH,2026-01-25 11:49:26
3,1.79,2.39,25,AH Sable pitloze blauwe druiven,AH,2026-01-25 11:49:26
1,4.49,5.99,25,AH Nederlandse aardbeien,AH,2026-01-25 11:49:26
1,3.14,4.19,25,AH Vers geperst sap appel peer framboos,AH,2026-01-25 11:49:26
1,2.17,2.89,25,AH Verse meloenmix,AH,2026-01-25 11:49:26
2,4.19,6.99,40,Oma's Hollands stoofpotje suddervlees,Oma's,2026-01-25 11:49:26
1,3.89,6.49,40,AH Verse maaltijd risotto funghi,AH,2026-01-25 11:49:26
2,3.24,4.99,35,AH Terra Plantaardig maaltijdsalade couscous fal,AH Terra,2026-01-25 11:49:26
3,3.74,4.99,25,AH Braadworst bloemkool,AH,2026-01-25 11:49:26
2,3.11,4.15,25,AH Terra Plantaardige wrap bacon ei,AH Terra,2026-01-25 11:49:26
2,5.24,6.99,25,AH Verse pizza Amerikaans cheese onion,AH,2026-01-25 11:49:26
2,4.49,5.99,25,AH Maaltijdsalade Italiaanse kip,AH,2026-01-25 11:49:26
2,5.17,6.89,25,AH Pizza prosciutto,AH,2026-01-25 11:49:26
1,3.97,5.29,25,AH Hachee rodekool,AH,2026-01-25 11:49:26
1,2.47,3.29,25,AH Terra Plantaardige kleine salade quinoa noten,AH Terra,2026-01-25 11:49:26
1,3.74,4.99,25,AH Maaltijdsalade oude kaas,AH,2026-01-25 11:49:26
1,5.24,6.99,25,AH Verse maaltijd linguini gamba's,AH,2026-01-25 11:49:26
1,5.24,6.99,25,AH Verse maaltijd witlof ham kaas,AH,2026-01-25 11:49:26
1,4.87,6.49,25,AH Verse maaltijd curry madras,AH,2026-01-25 11:49:26
1,4.87,6.49,25,AH Stoommaaltijd kip Provencaals,AH,2026-01-25 11:49:26
1,2.99,3.99,25,AH Kleine salade italiaans,AH,2026-01-25 11:49:26
1,4.27,5.69,25,AH Rode biet gehaktbal,AH,2026-01-25 11:49:26
