fetch_timestamp,title,brand,categoryTitle,priceWas,priceNow,markdownPercentage,stock
2026-02-04 20:50:12,AH Stoommaaltijd pasta pesto,AH,"Maaltijden, salades",5.99,3.74,25,2
2026-02-04 20:50:12,AH Braadworst bloemkool,AH,"Maaltijden, salades",4.99,3.74,25,2
2026-02-04 20:50:12,AH Wrap caesar kip bacon,AH,"Maaltijden, salades",4.25,3.19,25,2
2026-02-04 20:50:12,AH Stoommaaltijd tortellini formaggio XL,AH,"Maaltijden, salades",6.99,3.74,25,1
2026-02-04 20:50:12,AH Stamppot zuurkool rookworst,AH,"Maaltijden, salades",4.69,3.52,25,1
2026-02-04 20:50:12,AH Kleine salade mango geitenkaas,AH,"Maaltijden, salades",3.99,2.99,25,1
2026-02-04 20:50:12,AH Verse stamppot boerenkool,AH,"Maaltijden, salades",5.99,4.49,25,1
2026-02-04 20:50:12,AH Terra Verse pureersoep pompoen wortel,AH Terra,"Maaltijden, salades",4.49,3.37,25,1
2026-02-04 20:50:12,AH Salade erbij blauwe kaas,AH,"Maaltijden, salades",4.49,3.37,25,1
2026-02-04 20:50:12,AH Maaltijdsalade kip ketjap,AH,"Maaltijden, salades",5.59,4.19,25,1
2026-02-04 20:50:12,Jan Poffertjes met boter en suiker,Jan,"Maaltijden, salades",3.29,2.47,25,1
2026-02-04 20:50:12,AH Verse stamppot witlof ham kaas,AH,"Maaltijden, salades",5.59,4.19,25,1
2026-02-04 20:50:12,AH Maaltijdsalade Japanse noodles roerei,AH,"Maaltijden, salades",5.89,4.42,25,1
2026-02-04 20:50:12,AH Saladeschotel zalm,AH,"Maaltijden, salades",2.99,1.79,40,1
2026-02-04 20:50:12,Bertolli Pizzabodems,Bertolli,"Maaltijden, salades",2.75,2.06,25,1
2026-02-04 20:50:12,AH Scharrel kipfilet 1 stuk,AH,Vlees,3.79,1.14,70,2
2026-02-04 20:50:12,AH Greenfields Runder sukadelappen,AH Greenfields,Vlees,15.99,4.80,70,1
2026-02-04 20:50:12,AH Rundergehaktbal,AH,Vlees,6.49,1.95,70,1
2026-02-04 20:50:12,AH Gepaneerde schnitzel 2 stuks,AH,Vlees,3.99,2.39,40,4
2026-02-04 20:50:12,AH Boomstammetje,AH,Vlees,2.49,1.49,40,2
2026-02-04 20:50:12,AH Scharrel krokante kipfiletschnitzel,AH,Vlees,3.99,2.99,25,5
2026-02-04 20:50:12,AH Gehaktballetjes Hollands 12 stuks,AH,Vlees,6.49,4.87,25,4
2026-02-04 20:50:12,AH Scharrel kipfilet blokjes,AH,Vlees,5.49,4.12,25,3
2026-02-04 20:50:12,AH Scharrel kip saté schnitzel 2 stuks,AH,Vlees,3.29,2.47,25,3
2026-02-04 20:50:12,AH Speklap,AH,Vlees,3.19,2.39,25,2
